| OpId                                |   # |  CPU   |  CUDA  |  ROCm  | Vulkan | OneAPI |
| Transpose                           | 101 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Permute                             | 102 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Squeeze                             | 103 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Unsqueeze                           | 104 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Flatten                             | 105 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Contiguous                          | 106 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Clone                               | 107 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Fill                                | 108 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Repeat                              | 109 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Tile                                | 110 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Expand                              | 111 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Stack                               | 112 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Split                               | 113 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Chunk                               | 114 |   Y    |   Y    |   Y    |   Y    |   Y    |
| ToMemoryFormat                      | 115 |   Y    |   Y    |   Y    |   Y    |   Y    |
| IndexSelect                         | 120 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Gather                              | 121 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Scatter                             | 122 |   Y    |   Y    |   Y    |   Y    |   Y    |
| MaskedSelect                        | 123 |   Y    |   Y    |   Y    |   Y    |   Y    |
| MaskedFill                          | 124 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Where                               | 125 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Slice                               | 126 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Cat                                 | 127 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Take                                | 128 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Put                                 | 129 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Nonzero                             | 130 |   Y    |   Y    |   Y    |   Y    |   Y    |
| OneHot                              | 131 |   Y    |   Y    |   Y    |   Y    |   Y    |
| AdvancedIndex                       | 132 |   Y    |   Y    |   Y    |   Y    |   Y    |
| AdvancedIndexPut                    | 133 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Eq                                  | 140 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Ne                                  | 141 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Lt                                  | 142 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Le                                  | 143 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Gt                                  | 144 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Ge                                  | 145 |   Y    |   Y    |   Y    |   Y    |   Y    |
| BatchNorm2dMeanVar                  | 150 |   Y    |   Y    |   Y    |   Y    |   Y    |
| BatchNorm2dForward                  | 151 |   Y    |   Y    |   Y    |   Y    |   Y    |
| BatchNorm2dForwardAffine            | 152 |   Y    |   Y    |   Y    |   Y    |   Y    |
| BatchNorm2dUpdateRunningStats       | 153 |   Y    |   Y    |   Y    |   Y    |   Y    |
| BatchNorm2dBackward                 | 154 |   Y    |   Y    |   Y    |   Y    |   Y    |
| BatchNorm2dFusedTraining            | 155 |   Y    |   Y    |   Y    |   Y    |   Y    |
| LayerNorm                           | 156 |   Y    |   Y    |   Y    |   Y    |   Y    |
| LayerNormBackward                   | 157 |   Y    |   Y    |   Y    |   Y    |   Y    |
| GroupNorm                           | 158 |   Y    |   Y    |   Y    |   Y    |   Y    |
| GroupNormBackward                   | 159 |   Y    |   Y    |   Y    |   Y    |   Y    |
| InstanceNorm                        | 160 |   Y    |   Y    |   Y    |   Y    |   Y    |
| InstanceNormBackward                | 161 |   Y    |   Y    |   Y    |   Y    |   Y    |
| RMSNorm                             | 162 |   Y    |   Y    |   Y    |   Y    |   Y    |
| RMSNormBackward                     | 163 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Conv2dForward                       | 170 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Conv2dBackwardInput                 | 171 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Conv2dBackwardWeight                | 172 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Conv2dBackwardBias                  | 173 |   Y    |   Y    |   Y    |   Y    |   Y    |
| ConvTranspose2dForward              | 174 |   Y    |   Y    |   Y    |   Y    |   Y    |
| DepthwiseConv2d                     | 175 |   Y    |   Y    |   Y    |   Y    |   Y    |
| ConvTranspose3dForward              | 176 |   Y    |   Y    |   Y    |   Y    |   Y    |
| ConvTranspose3dBackwardInput        | 177 |   Y    |   Y    |   Y    |   Y    |   Y    |
| ConvTranspose3dBackwardWeight       | 178 |   Y    |   Y    |   Y    |   Y    |   Y    |
| ConvTranspose3dBackwardBias         | 179 |   Y    |   Y    |   Y    |   Y    |   Y    |
| MaxPool2dForward                    | 190 |   Y    |   Y    |   Y    |   Y    |   Y    |
